Scheduled_Date,Day,Time_UTC,Platform,Content_Type,Episode,Title,Copy,Tags,Media_Path,CTA
2026-10-24,Saturday,09:00,Spotify / Apple Podcasts / Web,Spoken Reflection Audio (Meditation / Podcast),Episode 6,Spoken Reflection: The Most Important Dua You Say Every Day,"Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. The Most Important Dua You Say Every Day.",#IslamicPodcast #CalmReflection #MorningRoutine,11_AUDIO/QURAN-COMEBACK-AUDIO-006.md,Listen on Spotify or Apple Podcasts
2026-10-25,Sunday,08:00,YouTube,Long-Form Video (16:9 4K),Episode 7,Episode 7: Why Does Allah Ask Us to Read Slowly?,"Full video essay exploring Surah Al-Muzzammil 73:4 and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.",#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection,10_VIDEO/QURAN-COMEBACK-VIDEO-007.md,Watch the full episode on YouTube
2026-10-26,Monday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 7,Short 7.1: The Problem We Ignore,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? Why Does Allah Ask Us to Read Slowly?. #Shorts",#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening,08_SCRIPTS/QURAN-COMEBACK-SHORTS-007.md#Scene-1,Follow @HuursStudio for daily reflection
2026-10-27,Tuesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 7,Short 7.2: The Ayah (Surah Al-Muzzammil 73:4),Listen to this verse with an open heart. Surah Al-Muzzammil 73:4. What is Allah asking of you right now?,#QuranAyah #DailyQuran #Tadabbur #HuursStudio,08_SCRIPTS/QURAN-COMEBACK-SHORTS-007.md#Scene-2,Save this verse for your evening prayer
2026-10-27,Tuesday,15:00,WhatsApp Status / Telegram Channel,Reflection Card & Supplication,Episode 7,Daily Card: Surah Al-Muzzammil 73:4,"🌿 *Huurs Daily Contemplation — Episode 7*

""Surah Al-Muzzammil 73:4""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.",#DailyReflection,14_SOCIAL/QURAN-COMEBACK-SOCIAL-007.md#WhatsApp,Share with family and friends
2026-10-28,Wednesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 7,Short 7.3: The Action Step,Don't change everything overnight. Just commit 5 minutes tonight to Surah Al-Muzzammil 73:4. Here's the exact micro-routine.,#QuranHabit #ProductiveMuslim #Consistency,08_SCRIPTS/QURAN-COMEBACK-SHORTS-007.md#Scene-3,Try this 5-minute action tonight
2026-10-28,Wednesday,16:00,Instagram,10-Slide Educational Carousel,Episode 7,Instagram Carousel: Why Does Allah Ask Us to Read Slowly?,Come back to the Qur'an with Episode 7: Why Does Allah Ask Us to Read Slowly?. Focus on Surah Al-Muzzammil 73:4. Read it. Understand it. Live it.,#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio,14_SOCIAL/renders/carousel_007/,Save this post and swipe through
2026-10-29,Thursday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 7,Short 7.4: The Diagnostic Question,An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? Why Does Allah Ask Us to Read Slowly?.,#DeepQuestion #HeartAudit #FaithReflection,08_SCRIPTS/QURAN-COMEBACK-SHORTS-007.md#Scene-4,Comment your thoughts below
2026-10-29,Thursday,17:00,Email / Substack Newsletter,Contemplation Essay & Weekly Check-in,Episode 7,Weekly Contemplation: Why Does Allah Ask Us to Read Slowly?,"Weekly broadcast dropping the complete pedagogical context of Surah Al-Muzzammil 73:4, classical tafsir insights from Ibn Kathir, and guided journal prompts.",#Newsletter #EmailBroadcast,15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md,Read the full newsletter essay
2026-10-30,Friday,07:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 7,Short 7.5: Jummah Mindset Shift,"Jummah Mubarak. As you prepare for prayer, remember: Surah Al-Muzzammil 73:4. A mind that rushes through life misses the peace of the Qur'an.",#JummahMubarak #FridayReflection #Tartil,08_SCRIPTS/QURAN-COMEBACK-SHORTS-007.md#Scene-5,Read Surah Al-Kahf with presence today
2026-10-30,Friday,10:00,Twitter / X,10-Post Contemplative Thread,Episode 7,X Thread: Why Does Allah Ask Us to Read Slowly?,1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Al-Muzzammil 73:4. 🧵,#Quran #Islam #Tadabbur #Wisdom,14_SOCIAL/QURAN-COMEBACK-SOCIAL-007.md#Twitter,Retweet the thread to share guidance
2026-10-31,Saturday,09:00,Spotify / Apple Podcasts / Web,Spoken Reflection Audio (Meditation / Podcast),Episode 7,Spoken Reflection: Why Does Allah Ask Us to Read Slowly?,"Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. Why Does Allah Ask Us to Read Slowly?.",#IslamicPodcast #CalmReflection #MorningRoutine,11_AUDIO/QURAN-COMEBACK-AUDIO-007.md,Listen on Spotify or Apple Podcasts
2026-11-01,Sunday,08:00,YouTube,Long-Form Video (16:9 4K),Episode 8,Episode 8: A Qur'an Routine for Someone Who Has No Time,"Full video essay exploring Surah Ta-Ha 20:2 and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.",#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection,10_VIDEO/QURAN-COMEBACK-VIDEO-008.md,Watch the full episode on YouTube
2026-11-02,Monday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 8,Short 8.1: The Problem We Ignore,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? A Qur'an Routine for Someone Who Has No Time. #Shorts",#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening,08_SCRIPTS/QURAN-COMEBACK-SHORTS-008.md#Scene-1,Follow @HuursStudio for daily reflection
2026-11-03,Tuesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 8,Short 8.2: The Ayah (Surah Ta-Ha 20:2),Listen to this verse with an open heart. Surah Ta-Ha 20:2. What is Allah asking of you right now?,#QuranAyah #DailyQuran #Tadabbur #HuursStudio,08_SCRIPTS/QURAN-COMEBACK-SHORTS-008.md#Scene-2,Save this verse for your evening prayer
2026-11-03,Tuesday,15:00,WhatsApp Status / Telegram Channel,Reflection Card & Supplication,Episode 8,Daily Card: Surah Ta-Ha 20:2,"🌿 *Huurs Daily Contemplation — Episode 8*

""Surah Ta-Ha 20:2""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.",#DailyReflection,14_SOCIAL/QURAN-COMEBACK-SOCIAL-008.md#WhatsApp,Share with family and friends
2026-11-04,Wednesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 8,Short 8.3: The Action Step,Don't change everything overnight. Just commit 5 minutes tonight to Surah Ta-Ha 20:2. Here's the exact micro-routine.,#QuranHabit #ProductiveMuslim #Consistency,08_SCRIPTS/QURAN-COMEBACK-SHORTS-008.md#Scene-3,Try this 5-minute action tonight
2026-11-04,Wednesday,16:00,Instagram,10-Slide Educational Carousel,Episode 8,Instagram Carousel: A Qur'an Routine for Someone Who Has No Time,Come back to the Qur'an with Episode 8: A Qur'an Routine for Someone Who Has No Time. Focus on Surah Ta-Ha 20:2. Read it. Understand it. Live it.,#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio,14_SOCIAL/renders/carousel_008/,Save this post and swipe through
2026-11-05,Thursday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 8,Short 8.4: The Diagnostic Question,An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? A Qur'an Routine for Someone Who Has No Time.,#DeepQuestion #HeartAudit #FaithReflection,08_SCRIPTS/QURAN-COMEBACK-SHORTS-008.md#Scene-4,Comment your thoughts below
2026-11-05,Thursday,17:00,Email / Substack Newsletter,Contemplation Essay & Weekly Check-in,Episode 8,Weekly Contemplation: A Qur'an Routine for Someone Who Has No Time,"Weekly broadcast dropping the complete pedagogical context of Surah Ta-Ha 20:2, classical tafsir insights from Ibn Kathir, and guided journal prompts.",#Newsletter #EmailBroadcast,15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md,Read the full newsletter essay
2026-11-06,Friday,07:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 8,Short 8.5: Jummah Mindset Shift,"Jummah Mubarak. As you prepare for prayer, remember: Surah Ta-Ha 20:2. A mind that rushes through life misses the peace of the Qur'an.",#JummahMubarak #FridayReflection #Tartil,08_SCRIPTS/QURAN-COMEBACK-SHORTS-008.md#Scene-5,Read Surah Al-Kahf with presence today
2026-11-06,Friday,10:00,Twitter / X,10-Post Contemplative Thread,Episode 8,X Thread: A Qur'an Routine for Someone Who Has No Time,1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Ta-Ha 20:2. 🧵,#Quran #Islam #Tadabbur #Wisdom,14_SOCIAL/QURAN-COMEBACK-SOCIAL-008.md#Twitter,Retweet the thread to share guidance
2026-11-07,Saturday,09:00,Spotify / Apple Podcasts / Web,Spoken Reflection Audio (Meditation / Podcast),Episode 8,Spoken Reflection: A Qur'an Routine for Someone Who Has No Time,"Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. A Qur'an Routine for Someone Who Has No Time.",#IslamicPodcast #CalmReflection #MorningRoutine,11_AUDIO/QURAN-COMEBACK-AUDIO-008.md,Listen on Spotify or Apple Podcasts
2026-11-08,Sunday,08:00,YouTube,Long-Form Video (16:9 4K),Episode 9,Episode 9: The Surah That Explains Why You're Losing,"Full video essay exploring Surah Al-Asr 103:1–3 and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.",#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection,10_VIDEO/QURAN-COMEBACK-VIDEO-009.md,Watch the full episode on YouTube
2026-11-09,Monday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 9,Short 9.1: The Problem We Ignore,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? The Surah That Explains Why You're Losing. #Shorts",#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening,08_SCRIPTS/QURAN-COMEBACK-SHORTS-009.md#Scene-1,Follow @HuursStudio for daily reflection
2026-11-10,Tuesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 9,Short 9.2: The Ayah (Surah Al-Asr 103:1–3),Listen to this verse with an open heart. Surah Al-Asr 103:1–3. What is Allah asking of you right now?,#QuranAyah #DailyQuran #Tadabbur #HuursStudio,08_SCRIPTS/QURAN-COMEBACK-SHORTS-009.md#Scene-2,Save this verse for your evening prayer
2026-11-10,Tuesday,15:00,WhatsApp Status / Telegram Channel,Reflection Card & Supplication,Episode 9,Daily Card: Surah Al-Asr 103:1–3,"🌿 *Huurs Daily Contemplation — Episode 9*

""Surah Al-Asr 103:1–3""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.",#DailyReflection,14_SOCIAL/QURAN-COMEBACK-SOCIAL-009.md#WhatsApp,Share with family and friends
2026-11-11,Wednesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 9,Short 9.3: The Action Step,Don't change everything overnight. Just commit 5 minutes tonight to Surah Al-Asr 103:1–3. Here's the exact micro-routine.,#QuranHabit #ProductiveMuslim #Consistency,08_SCRIPTS/QURAN-COMEBACK-SHORTS-009.md#Scene-3,Try this 5-minute action tonight
2026-11-11,Wednesday,16:00,Instagram,10-Slide Educational Carousel,Episode 9,Instagram Carousel: The Surah That Explains Why You're Losing,Come back to the Qur'an with Episode 9: The Surah That Explains Why You're Losing. Focus on Surah Al-Asr 103:1–3. Read it. Understand it. Live it.,#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio,14_SOCIAL/renders/carousel_009/,Save this post and swipe through
2026-11-12,Thursday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 9,Short 9.4: The Diagnostic Question,An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? The Surah That Explains Why You're Losing.,#DeepQuestion #HeartAudit #FaithReflection,08_SCRIPTS/QURAN-COMEBACK-SHORTS-009.md#Scene-4,Comment your thoughts below
2026-11-12,Thursday,17:00,Email / Substack Newsletter,Contemplation Essay & Weekly Check-in,Episode 9,Weekly Contemplation: The Surah That Explains Why You're Losing,"Weekly broadcast dropping the complete pedagogical context of Surah Al-Asr 103:1–3, classical tafsir insights from Ibn Kathir, and guided journal prompts.",#Newsletter #EmailBroadcast,15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md,Read the full newsletter essay
2026-11-13,Friday,07:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 9,Short 9.5: Jummah Mindset Shift,"Jummah Mubarak. As you prepare for prayer, remember: Surah Al-Asr 103:1–3. A mind that rushes through life misses the peace of the Qur'an.",#JummahMubarak #FridayReflection #Tartil,08_SCRIPTS/QURAN-COMEBACK-SHORTS-009.md#Scene-5,Read Surah Al-Kahf with presence today
2026-11-13,Friday,10:00,Twitter / X,10-Post Contemplative Thread,Episode 9,X Thread: The Surah That Explains Why You're Losing,1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Al-Asr 103:1–3. 🧵,#Quran #Islam #Tadabbur #Wisdom,14_SOCIAL/QURAN-COMEBACK-SOCIAL-009.md#Twitter,Retweet the thread to share guidance
2026-11-14,Saturday,09:00,Spotify / Apple Podcasts / Web,Spoken Reflection Audio (Meditation / Podcast),Episode 9,Spoken Reflection: The Surah That Explains Why You're Losing,"Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. The Surah That Explains Why You're Losing.",#IslamicPodcast #CalmReflection #MorningRoutine,11_AUDIO/QURAN-COMEBACK-AUDIO-009.md,Listen on Spotify or Apple Podcasts
2026-11-15,Sunday,08:00,YouTube,Long-Form Video (16:9 4K),Episode 10,"Episode 10: 30 Days From Now, You Could Be Different","Full video essay exploring Surah Ar-Ra'd & Ibrahim and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.",#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection,10_VIDEO/QURAN-COMEBACK-VIDEO-010.md,Watch the full episode on YouTube
2026-11-16,Monday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 10,Short 10.1: The Problem We Ignore,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? 30 Days From Now, You Could Be Different. #Shorts",#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening,08_SCRIPTS/QURAN-COMEBACK-SHORTS-010.md#Scene-1,Follow @HuursStudio for daily reflection
2026-11-17,Tuesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 10,Short 10.2: The Ayah (Surah Ar-Ra'd & Ibrahim),Listen to this verse with an open heart. Surah Ar-Ra'd & Ibrahim. What is Allah asking of you right now?,#QuranAyah #DailyQuran #Tadabbur #HuursStudio,08_SCRIPTS/QURAN-COMEBACK-SHORTS-010.md#Scene-2,Save this verse for your evening prayer
2026-11-17,Tuesday,15:00,WhatsApp Status / Telegram Channel,Reflection Card & Supplication,Episode 10,Daily Card: Surah Ar-Ra'd & Ibrahim,"🌿 *Huurs Daily Contemplation — Episode 10*

""Surah Ar-Ra'd & Ibrahim""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.",#DailyReflection,14_SOCIAL/QURAN-COMEBACK-SOCIAL-010.md#WhatsApp,Share with family and friends
2026-11-18,Wednesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 10,Short 10.3: The Action Step,Don't change everything overnight. Just commit 5 minutes tonight to Surah Ar-Ra'd & Ibrahim. Here's the exact micro-routine.,#QuranHabit #ProductiveMuslim #Consistency,08_SCRIPTS/QURAN-COMEBACK-SHORTS-010.md#Scene-3,Try this 5-minute action tonight
2026-11-18,Wednesday,16:00,Instagram,10-Slide Educational Carousel,Episode 10,"Instagram Carousel: 30 Days From Now, You Could Be Different","Come back to the Qur'an with Episode 10: 30 Days From Now, You Could Be Different. Focus on Surah Ar-Ra'd & Ibrahim. Read it. Understand it. Live it.",#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio,14_SOCIAL/renders/carousel_010/,Save this post and swipe through
2026-11-19,Thursday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 10,Short 10.4: The Diagnostic Question,"An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? 30 Days From Now, You Could Be Different.",#DeepQuestion #HeartAudit #FaithReflection,08_SCRIPTS/QURAN-COMEBACK-SHORTS-010.md#Scene-4,Comment your thoughts below
2026-11-19,Thursday,17:00,Email / Substack Newsletter,Contemplation Essay & Weekly Check-in,Episode 10,"Weekly Contemplation: 30 Days From Now, You Could Be Different","Weekly broadcast dropping the complete pedagogical context of Surah Ar-Ra'd & Ibrahim, classical tafsir insights from Ibn Kathir, and guided journal prompts.",#Newsletter #EmailBroadcast,15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md,Read the full newsletter essay
2026-11-20,Friday,07:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 10,Short 10.5: Jummah Mindset Shift,"Jummah Mubarak. As you prepare for prayer, remember: Surah Ar-Ra'd & Ibrahim. A mind that rushes through life misses the peace of the Qur'an.",#JummahMubarak #FridayReflection #Tartil,08_SCRIPTS/QURAN-COMEBACK-SHORTS-010.md#Scene-5,Read Surah Al-Kahf with presence today
2026-11-20,Friday,10:00,Twitter / X,10-Post Contemplative Thread,Episode 10,"X Thread: 30 Days From Now, You Could Be Different",1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Ar-Ra'd & Ibrahim. 🧵,#Quran #Islam #Tadabbur #Wisdom,14_SOCIAL/QURAN-COMEBACK-SOCIAL-010.md#Twitter,Retweet the thread to share guidance
2026-11-21,Saturday,09:00,Spotify / Apple Podcasts / Web,Spoken Reflection Audio (Meditation / Podcast),Episode 10,"Spoken Reflection: 30 Days From Now, You Could Be Different","Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. 30 Days From Now, You Could Be Different.",#IslamicPodcast #CalmReflection #MorningRoutine,11_AUDIO/QURAN-COMEBACK-AUDIO-010.md,Listen on Spotify or Apple Podcasts
2026-11-22,Sunday,08:00,YouTube,Long-Form Video (16:9),Episode 11,Episode 11: How to Stand Firm When Everything Around You Is Shaking,"Full video essay exploring Surah Hud 11:112, 114–115. Uncompromising steadfastness (Istiqamah), emotional resilience in hostility, and how daily small good deeds erase missteps.

Watch here: https://youtube.com/@HuursStudio",#ComeBackToQuran #HuursStudio #Tadabbur,10_VIDEO/QURAN-COMEBACK-VIDEO-011.md,Read. Reflect. Return.
2026-11-23,Monday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 11,Short: Have you ever felt so spiritually exhausted that just holding on to your faith felt like holding a burning ember?,Have you ever felt so spiritually exhausted that just holding on to your faith felt like holding a burning ember? How to Stand Firm When Everything Around You Is Shaking. #Shorts,#Shorts #Reels #QuranReminder,08_SCRIPTS/QURAN-COMEBACK-SHORTS-011.md#Scene-1,Read. Reflect. Return.
2026-11-24,Tuesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 11,"Ayah Focus: Surah Hud 11:112, 114–115","Listen to Surah Hud 11:112, 114–115 with an open heart. What is Allah asking of you right now?",#QuranAyah #DailyQuran #Tadabbur,08_SCRIPTS/QURAN-COMEBACK-SHORTS-011.md#Scene-2,Read. Reflect. Return.
2026-11-24,Tuesday,15:00,WhatsApp Status / Telegram Channel,Reflection Card (1:1),Episode 11,Daily Contemplation Card: Episode 11,"🌿 *Huurs Daily Contemplation — Episode 11*

""Surah Hud 11:112, 114–115""

The 3-Good-Deeds Anchor: When you feel your faith wavering today, do not punish yourself with paralyzing guilt. Immediately perform three silent micro-good deeds (a hidden charity, two rak'ahs of duha, or removing harm from a path).",#DailyReflection,14_SOCIAL/QURAN-COMEBACK-SOCIAL-011.md#WhatsApp,Read. Reflect. Return.
2026-11-25,Wednesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 11,Action Step: How to Stand Firm When Everything Around You Is Shaking,"The 3-Good-Deeds Anchor: When you feel your faith wavering today, do not punish yourself with paralyzing guilt. Immediately perform three silent micro-good deeds (a hidden charity, two rak'ahs of duha, or removing harm from a path). Try this today.",#QuranHabit #Consistency,08_SCRIPTS/QURAN-COMEBACK-SHORTS-011.md#Scene-3,Read. Reflect. Return.
2026-11-25,Wednesday,16:00,Instagram,10-Slide Educational Carousel,Episode 11,Instagram Carousel: How to Stand Firm When Everything Around You Is Shaking,"How to Stand Firm When Everything Around You Is Shaking

Have you ever felt so spiritually exhausted that just holding on to your faith felt like holding a burning ember?

Read the full carousel for classical tafsir and the 3-minute evening return routine.

#ComeBackToQuran #HuursStudio",#ComeBackToQuran #Tadabbur #HuursStudio,14_SOCIAL/QURAN-COMEBACK-SOCIAL-011.md#Instagram,Read. Reflect. Return.
2026-11-26,Thursday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 11,Deep Question: Episode 11,An honest question for your soul today: When was the last time the Qur'an made you pause and reflect? How to Stand Firm When Everything Around You Is Shaking,#DeepQuestion #HeartAudit,08_SCRIPTS/QURAN-COMEBACK-SHORTS-011.md#Scene-4,Read. Reflect. Return.
2026-11-26,Thursday,17:00,Email / Substack Newsletter,Contemplation Essay & Weekly Check-in,Episode 11,Weekly Broadcast: How to Stand Firm When Everything Around You Is Shaking,"Weekly broadcast exploring Surah Hud 11:112, 114–115, classical tafsir insights from Ibn Kathir, and guided journal prompts.",#Newsletter #EmailBroadcast,15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md,Read. Reflect. Return.
2026-11-27,Friday,07:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 11,"Jummah Reflection: Surah Hud 11:112, 114–115","Jummah Mubarak. As you prepare for prayer, remember: Surah Hud 11:112, 114–115.",#JummahMubarak #FridayReflection,08_SCRIPTS/QURAN-COMEBACK-SHORTS-011.md#Scene-5,Read. Reflect. Return.
2026-11-27,Friday,10:00,Twitter / X,10-Post Educational Thread,Episode 11,Twitter Thread: How to Stand Firm When Everything Around You Is Shaking,"1/10 Have you ever felt so spiritually exhausted that just holding on to your faith felt like holding a burning ember? A thread on Surah Hud (Surah Hud 11:112, 114–115). 🧵",#Quran #Islam #Tadabbur,14_SOCIAL/QURAN-COMEBACK-SOCIAL-011.md#Twitter,Read. Reflect. Return.
2026-11-28,Saturday,09:00,Spotify / Apple Podcasts / Web,Spoken Reflection (Acoustic Audio),Episode 11,Podcast: How to Stand Firm When Everything Around You Is Shaking,Unhurried spoken reflection over natural acoustic atmosphere (zero music). How to Stand Firm When Everything Around You Is Shaking.,#IslamicPodcast #CalmReflection,11_AUDIO/QURAN-COMEBACK-AUDIO-011.md,Read. Reflect. Return.
2026-11-29,Sunday,08:00,YouTube,Long-Form Video (16:9),Episode 12,Episode 12: When Allah's Plan Hurts Before It Heals,"Full video essay exploring Surah Yusuf 12:18, 86, 100. The subtle divine decree (Al-Latif), beautiful patience (Sabrun Jamil), and forgiving from a position of strength.

Watch here: https://youtube.com/@HuursStudio",#ComeBackToQuran #HuursStudio #Tadabbur,10_VIDEO/QURAN-COMEBACK-VIDEO-012.md,Read. Reflect. Return.
2026-11-30,Monday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 12,Short: Why do the people closest to you sometimes cause the deepest wounds—and why does Allah let righteous people suffer years of injustice?,Why do the people closest to you sometimes cause the deepest wounds—and why does Allah let righteous people suffer years of injustice? When Allah's Plan Hurts Before It Heals. #Shorts,#Shorts #Reels #QuranReminder,08_SCRIPTS/QURAN-COMEBACK-SHORTS-012.md#Scene-1,Read. Reflect. Return.
2026-12-01,Tuesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 12,"Ayah Focus: Surah Yusuf 12:18, 86, 100","Listen to Surah Yusuf 12:18, 86, 100 with an open heart. What is Allah asking of you right now?",#QuranAyah #DailyQuran #Tadabbur,08_SCRIPTS/QURAN-COMEBACK-SHORTS-012.md#Scene-2,Read. Reflect. Return.
2026-12-01,Tuesday,15:00,WhatsApp Status / Telegram Channel,Reflection Card (1:1),Episode 12,Daily Contemplation Card: Episode 12,"🌿 *Huurs Daily Contemplation — Episode 12*

""Surah Yusuf 12:18, 86, 100""

The Private Grievance Protocol: Today, whatever betrayal or delay is keeping you awake at night, refuse to complain to human beings on social media or group chats. Turn off your screen, make wudu, sit in the dark, and whisper verse 12:86 to Allah alone.",#DailyReflection,14_SOCIAL/QURAN-COMEBACK-SOCIAL-012.md#WhatsApp,Read. Reflect. Return.
2026-12-02,Wednesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 12,Action Step: When Allah's Plan Hurts Before It Heals,"The Private Grievance Protocol: Today, whatever betrayal or delay is keeping you awake at night, refuse to complain to human beings on social media or group chats. Turn off your screen, make wudu, sit in the dark, and whisper verse 12:86 to Allah alone. Try this today.",#QuranHabit #Consistency,08_SCRIPTS/QURAN-COMEBACK-SHORTS-012.md#Scene-3,Read. Reflect. Return.
2026-12-02,Wednesday,16:00,Instagram,10-Slide Educational Carousel,Episode 12,Instagram Carousel: When Allah's Plan Hurts Before It Heals,"When Allah's Plan Hurts Before It Heals

Why do the people closest to you sometimes cause the deepest wounds—and why does Allah let righteous people suffer years of injustice?

Read the full carousel for classical tafsir and the 3-minute evening return routine.

#ComeBackToQuran #HuursStudio",#ComeBackToQuran #Tadabbur #HuursStudio,14_SOCIAL/QURAN-COMEBACK-SOCIAL-012.md#Instagram,Read. Reflect. Return.
2026-12-03,Thursday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 12,Deep Question: Episode 12,An honest question for your soul today: When was the last time the Qur'an made you pause and reflect? When Allah's Plan Hurts Before It Heals,#DeepQuestion #HeartAudit,08_SCRIPTS/QURAN-COMEBACK-SHORTS-012.md#Scene-4,Read. Reflect. Return.
2026-12-03,Thursday,17:00,Email / Substack Newsletter,Contemplation Essay & Weekly Check-in,Episode 12,Weekly Broadcast: When Allah's Plan Hurts Before It Heals,"Weekly broadcast exploring Surah Yusuf 12:18, 86, 100, classical tafsir insights from Ibn Kathir, and guided journal prompts.",#Newsletter #EmailBroadcast,15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md,Read. Reflect. Return.
2026-12-04,Friday,07:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 12,"Jummah Reflection: Surah Yusuf 12:18, 86, 100","Jummah Mubarak. As you prepare for prayer, remember: Surah Yusuf 12:18, 86, 100.",#JummahMubarak #FridayReflection,08_SCRIPTS/QURAN-COMEBACK-SHORTS-012.md#Scene-5,Read. Reflect. Return.
